id_cli,text_cli_en,text_cli_de,Zuordnung zu boreholeML RockColorList - Name,Zuordnung zu boreholeML RockColorList - Code
21112017,light olive green,hellolive,grün,h5
21112018,dark green,dunkelgrün,grün,h5
21112020,light green,hellgrün,grün,h5
21112021,dark red,dunkelrot,rot,h2
21112022,red brown,braunrot,rot,h2
21112023,magenta,magenta,rot,h2
21112024,yellow,gelb,gelb,h3
21112025,light yellow,hellgelb,gelb,h3
21112016,olive green,olive,grün,h5
21112011,black,schwarz,schwarz,h9
21112004,dark grey,dunkelgrau,grau,h8
21112012,white,weiss,weiss,h7
21112019,green,grün,grün,h5
21112005,grey,grau,grau,h8
21112009,light grey,hellgrau,grau,h8
21112003,dark brown,dunkelbraun,braun,h4
21112002,brown,braun,braun,h4
21112008,light brown,hellbraun,braun,h4
21112014,dark beige,dunkelbeige,bläulich,c5
21112001,beige,beige,bläulich,c5
21112013,light beige,hellbeige,bläulich,c5
21112010,ocher,ocker,gelblich,c2
21112015,dark olive green,dunkelolive,grün,h5